AAQS;Ambient Air Quality Standard
AAU;Assigned amount units
ABF;Aquatic Base Flow
ABT;Availability based tariff
ACA;Annual Charge Adjustment
ACEE;American Council for an Energy Efficient Economy
ACRS;Accelerated Cost Recovery System
ADITC;Accumulated Deferred Investment Tax Credit
ADR;Asset Depreciation Range
ADRM;Adjustable Rate Mortgage
ADTV;Average Daily Trading Volume
AEP;American Electric Power
AESO;Alberta Electric System Operator
AFE;Authority for Expenditure
AFUDC;allowance for funds used during construction
AFUE;annual fuel utilization efficiency
AFV;Alternative fuel vehicle
AGAS;American Gas Association
AGC;Automatic generation control
AGD;Associated Gas Distributors
AHT;After Hours Trading
AIMA;Agricultural Impact Mitigation Agreement
AIRT;Assumed Interest Rate
ALJ;Administrative law judge
AMBOP;Armenia  Macedonia  Bulgaria Oil pipeline
AMINF;Advanced metering infrastructure
AMRA;Automatic Meter Reading Association
AMR;Automated meter reading
ANGTA;Alaskan Natural Gas Transportation Act
ANGTS;Alaskan Natural Gas Transportation System
ANSI;American National Standards Institute
AoPE;Area of potential effect
AOS;Authorized Overrun Service
AP;Accounts payable
APA;Administrative Procedure Act
API;American Petroleum Institute
APPA;American Public Power Association
APR;Actual peak reduction
AQCR;Air Quality Control Region
ARPU;Average revenue per user
ASAP;As soon as possible
ASCC;Alaskan System Coordination Council
ASE;Alliance to Save Energy
ASP;Average selling price
asst;Assistant
ASTM;American Society for Testing and Materials
ATC;Available transfer capability
AVR;Automatic Voltage Regulator
B2B;Business to business
B2C;Business to Consumer
BACT;Best Available Control Technology
BAUSL;Business As Usual
BAUT;Balancing Authority
BBLD;Barrel per day
BBLSD;Barrel per day
BCD;Barrel per day
BCF;billion cubic feet
BCP;Blackstart Capability Plan
BD;Business Development
BESY;Bulk electric system
BLM;Bureau of Land Management
BLS;Bureau of Labor Statistics
BOE;Barrel of oil equivalent
BBL;barrel
BOIA;Bureau of Indian Affairs
BPA;Bonneville Power Administration
BPL;Broadband over power line
BPS;Bulk Power System
BRIC;Brazil Russia India And China
BRU;Business Recovery Unit
BTL;building tightness limit
BTU;British thermal unit
BTX;benzene toluene and xylene
BuRec;United States Bureau of Reclamation
BWR;Boiling water reactor
C&F;Cost With Freight
C&I;Commercial and industrial customers
CA;Carbon Abatement
CAA;Clean Air Act
CAEM;Center for the Advancement of Energy Markets
CAFESt;Corporate Average Fuel Economy standards
CAGR;Compound annual growth rate
CAISO;California Independent System Operator Corporation
CAO;Chief Accounting Officer
CAPEX;Capital Expenditures
CAPM;Capital asset pricing model
CARBod;California Air Resources Board
CB;Current Bid
CBL;Customer Baseline Load
CBM;Capacity Benefit Margin
CBOB;Conventional Gasoline Blendstock for Oxygenate Blending
CCIP;Centre for Critical Infrastructure Protection
CCLIP;Conditional Credit Line for Investment Projects
CCPG;Colorado Coordinated Planning Group
CCPP;Combined cycle power plant
CoD;Certificate of Deposit
CDD;Cooling degree day
CDH;cooling degree hours
CDM;Clean Development Mechanism
CDO;Collateralized debt obligation
CDS;Credit default swap
CEA;Country Environmental Analysis
CEC;California Energy Commission
CEEC;Central and Eastern European Countries
CEO;Chief executive officer
CEP;Clean Energy Partnership
CEPII;Centre d Etudes Prospectives et d Informations Internationales
CEPS;Centre for European Policy Studies
CEQ;Council on Environmental Quality
CER;Certified Emission Reduction
CERA;Cambridge Energy Research Associates
CERCLA;Comprehensive Environmental Response  Compensation  and Liability Act
CERCLIS;Comprehensive Environmental Response  Compensation  and Liability Information System
CERTS;Consortium for Electric Reliability Technology Solutions
CFA;Chartered Financial Analyst
CFC;Consumption of fixed capital
CFCT;Cash Flow Cycle Time
CFD;Contract for difference
CFL;compact fluorescent light
CFM;Certified Financial Manager
CFO;Chief Financial Officer
CFS;Consolidated Financial Statement
CFpS;cubic feet per second
CFTC;Commodity Futures Trading Commission
CHP;Combined heat and power
CIAC;Contributions in Aid of Construction
CIAu;Certified Internal Auditor
CIF;Cost Insurance With Freight
CIMA;Chartered Institute of Management Accountants
CIO;Chief Investment Officer
CIP;Critical Infrastructure Protection
CISA;Certified Information Systems Auditor
CMA;Certified Management Accountant
CMO;Chief Marketing Officer
Cmp;Capacity market programs
CMPr;Current Market Price
CMVE;Competitive Market Value Estimate
CNG;Compressed natural gas
CO;Carbon monoxide
COA;Chart of Account
COBu;Close of Business
COC;Cost of capital
COE;Corps of Engineers
COGS;Cost of Goods Sold
COO;Chief Operating Officer
CoeOP;coefficient of performance
Corp;Corporation
CP;Coincident Peak
CPA;California Power Authority
CPC;Cost Per Click
CPFF;Commercial Paper Funding Facility
CPI;Consumer Price Index
CPP;Critical Peak Pricing
CPPI;Constant Proportion Portfolio Insurance
CPS;Control Performance Standard
CPSEC;Cycles per second
CPU;Cost per Unit
CPUC;California Public Utilities Commission
CREF;Caribbean Renewable Energy Facility
CRI;color rendering index
CRM;Customer Relationship Management
CROGI;Cash Return On Gross Investment
CRP;Conservation Reserve Program
CRT;Capacity Reservation Tariff
CSD;Commission for Sustainable Development
CSEM;Center for the Study of Energy Markets
CSO;Chief Security Officer
CSP;Country Strategy Paper
CSPRO;Curtailment service provider
CT;Combustion turbine
CTO;Chief Technology Officer
CVI;Cumulative Volume Index
CVP;Cost Volume Profit
CZMA;Coastal Zone Management Act
DADRP;Day Ahead Demand Response Program
DANIDA;Danish International Development Agency
DC;Direct current
DCLM;Direct control load management
DCS;Disturbance Control Standard
DDA;Depletion Depreciation Amortization
DECS;Dividend Enhanced Convertible Stock
DEFG;Distributed Energy Financial Group
DEIS;Draft Environmental Impact Statement
DES;Delivered Ex Ship
DF;Distribution Factor
DG;Distributed generation
DI;Dispatch information
DIIS;Danish Institute for International Studies
discc;Discount
DJIA;Dow Jones Industrial Average
DLC;Direct load control
DMA;Direct market access
DME;Disturbance Monitoring Equipment
DOEn;Department of Energy
DOI;Department of the Interior
DOTR;Department of Transportation
dept;Department
Dresp;Demand response
DRAM;Demand Response and Advanced Metering
DRB;Demonstrated reserve base
DRCC;Demand Response Coordinating Council
DiRIFT;Do It Right The First Time
DRR;Demand Response resources
DRRC;Demand Response Research Center
DSM;Demand side management
DSO;Distribution system operator
DSP;Delivery service provider
DTW;dealer tank wagon
E&D;Exploration and development expenses
EA;Environmental assessment
EACs;Export Assistance Centers
EAY;Effective Annual Yield
EBITDA;Earnings before Interest  Taxes  Depreciation  and Amortization
EBIT;Earnings before interest and taxes
EC;European Commission
ECAR;East Central Area Reliability Coordination Agreement
ECPA;Electric Consumers Protection Act
EdF;Electricite de France
EDI;Electronic Data Interchange
EDRP;Emergency demand response program
EEI;Edison Electric Institute
EEM;Energy Efficient Mortgage
EER;energy efficiency ratio
EE;Energy efficiency
EF;energy factor
EfAR;Effective annual rate
EFTPOS;Electronic Funds Transfer at Point of Sale
EFT;Electronic Funds Transfer
EHV;Extra high voltage
EIA;Environmental impact assessment
EIB;European Investment Bank
EIM;Energy Improvement Mortgage
EIPP;Eastern Interconnection Phasor Project
EIS;Environmental Impact Statement
ELCON;Electricity Consumers Resources Council
EMF;Electro magnetic field
EMP;Environmental Management Plan
EMTN;Euro Medium Term Note
EOB;End Of the Business
EOR;Enhanced oil recovery
EPA;Environmental Protection Agency
EPAct;Energy Policy Act
EPCIP;European Programme for Critical Infrastructure Protection
EPRI;Electric Power Research Institute
EPS;Earnings per share
EQR;Electric Quarterly Report
ERAd;Economic Regulatory Administration
ERCOT;Electric Reliability Council of Texas
ERGEG;European Regulators Group for Electricity and Gas
ERO;Electric Reliability Organization
ERRA;Energy Regulators Regional Association
ERV;energy recovery ventilator
ESCO;Energy service company
ESI;Environmental Sustainability Index
ESMAP;Energy Sector Management Assistance Programme
ESo;Employee Stock Option
ESPR;Electrostatic precipitator
ESS;Energy Storage System as in grid energy storage
ETA;Estimated Time of Arrival
ETBE;ethyl tertiary butyl ether
ETF;Exchange Traded Funds
ETSO;European Transmission System Operators
EUEF;European Union Energy Facility
EUEI;European Union Energy Initiative
EU;European Union
EXP;Export
FACL;Fuel Adjustment Clause
FACTSy;Flexible Alternating Current Transmission System
FASB;Financial Accounting Standards Board
FBR;fast breeder reactor
FCITC;First Contingency Incremental Transfer Capability
FDIC;Federal Deposit Insurance Corporation
FDP;Finance Department
FEIS;Final Environmental impact statement
FELCC;Firm Energy Load Carrying Capability
FERC;Federal Energy Regulatory Commission
FGD;Flue gas desulfurization
FIEX;Financial Information Exchange
FIFO;First In First Out
FINESSU;Financing Energy Services for Small Scale Users
Fishway;Fish ladder
FLPMA;Federal Land Policy and Management Act
FLV;Financial leverage
FME;Free market economics
FOB;Freight On Board
FOC;Free Of Cost
FONSI;Finding of no significant impact
FOREX;Foreign Exchange
FP&A;Financial Planning & Analysis
FPA;Federal Power Act
FPC;Federal Power Commission
FPO;Follow on public offer
FPS;Firm peaking service See Peaking power plant
FRB;Federal Reserve Board
FRCC;Florida Reliability Coordinating Council
FRS;Financial Reporting System
FT;Firm Transportation Service
FTC;Federal Trade Commission
FTR;Firm Transmission Rights
FTS;Firm transportation service
FUA;The Fuel Use Act
FUCO;Foreign Utility Company
FWPA;Federal Water Power Act
FX;Foreign exchange market
FYI;For Your Information
G&T;Generation and transmission utility cooperative
GAAP;Generally Accepted Accounting Principles
GAAS;Generally Accepted Auditing Standards
GALN;gallon
GAO;Government Accountability Office
GATT;General Agreement on Tariffs and Trade
GDP;Gross Domestic Product
GEF;Global Environmental Facility
Genco;electricity generation  company
GFCF;Gross fixed capital formation
GFN;Global Footprint Network
GFSE;Global Forum on Sustainable Energy
GHC;Gross Inland  Consumption
GHG;Greenhouse gas
GIC;Gas Inventory Charge
GISB;Gas Industry Standards Board
GL;General Ledger
GLDF;Generator to Load Distribution Factor
GMO;Genetically modified organism
GMP;Green Mountain Power
GNP;Gross National Product
GNSED;Global Network for Sustainable Energy Development
GP;Gross Profit
GPO;Group purchasing organization
GRI;Gas Research Institute
GRN;Goods Receipt Note
GSF;Generator to Load Distribution Factor
GSR;Gas Supply Realignment
GSV;Gross Sales Value
Gt;Gigaton
GTCC;Gas Turbine Combined Cycle
GTI;Gas Technology Institute
Gtoe;One billion tons of oil equivalent
GVEP;Global Village Energy Partnership
GVW;gross vehicle weight
Gwh;Gigawatt hour
GW;Gigawatt
GWP;global warming potential
HCA;Host Control Area
HDD;heating degree day
HERS;Home energy rating standard
HHI;Herfindahl Hirschman Index
HID;high intensity discharge
hp;Horsepower
HQ;Headquarters
HRD;Human Resource Development
HR;Human Resources
HRV;heat recovery ventilator
HSPF;heating seasonal performance factor
HTGR;high temperature gas cooled reactor
HVAC;Heating  ventilation  and air conditioning
HVAR;Highly Valued Aquatic Resource
HVDC;High Voltage Direct Current
HVI;Home Ventilating Institute
IAS;International Accounting Standards
IC;Interruptible Curtailable
ICAP;Installed Capacity
ICB;Industry Classification Benchmark
ICEN;Internal combustion engine
ICRM;Innovative Customer Relationship Management
ICT;Independent Coordinator of Transmission
IDC;Interchange Distribution Calculator
IE;Interest expense
IEA;International Energy Agency
IECC;International Energy Conservation Code
